count,sentiment,date,title
1,1,"Thu, 02 Apr 2020 07:00:00 GMT",Satellites map the global flow of oil - European Space Agency
2,1,"Mon, 05 Oct 2020 07:00:00 GMT","Mars Palm Positive Plan Delivers Deforestation-Free Palm Oil Supply Chain - Mars, Incorporated"
3,1,"Mon, 09 Mar 2020 07:00:00 GMT",How oil prices got wrapped up in the coronavirus outbreak - Journalist's Resource
4,1,"Fri, 08 May 2020 07:00:00 GMT",Homing in on methane emissions from the oil and gas industry - UNEP
5,1,"Tue, 09 Jun 2020 07:00:00 GMT",A New Reality for Oil and Gas Procurement and Supply Chains - BCG
6,1,"Sun, 12 Jul 2020 07:00:00 GMT",Where Does China Get Its Oil? - The Wire
7,0,"Wed, 15 Jul 2020 07:00:00 GMT",Palm Oil Spread Volatility Creates Trading Opportunities - CME Group
8,1,"Mon, 02 Nov 2020 08:00:00 GMT",COVID-19 hit commodities hard - these 8 charts show what we can expect - World Economic Forum
9,-1,"Tue, 24 Mar 2020 07:00:00 GMT",The implications of the coronavirus crisis on the global energy sector and the environment - Atlantic Council
10,1,"Fri, 30 Oct 2020 15:46:13 GMT",From the barrel to the pump: the impact of the COVID-19 pandemic on prices for petroleum products - Bureau of Labor Statistics
11,1,"Fri, 15 May 2020 07:00:00 GMT",Oil and gas after COVID-19: The day of reckoning or a new age of opportunity? - McKinsey
12,0,"Mon, 07 Dec 2020 08:00:00 GMT",Identifying and Implementing Sustainable Strategies for the Oil and Gas Supply Chain | Infiniti’s Thought Leaders Provide Unparalleled Strategies - Business Wire
13,1,"Thu, 09 Jan 2020 08:00:00 GMT",The crude oil spectrum: Platts periodic table of oil - S&P Global
14,1,"Thu, 11 Jun 2020 07:00:00 GMT",Tying a carbon tax to the oil price is not a smart idea - Niskanen Center
15,-1,"Thu, 10 Dec 2020 08:00:00 GMT",Indonesia palm oil traders are failing land and environmental defenders - Global Witness
16,0,"Thu, 07 May 2020 07:00:00 GMT",Oil prices at an all-time low: good news for transport and logistics? - Upply
17,1,"Tue, 19 May 2020 07:00:00 GMT",Neste’s palm oil and PFAD traceability dashboards have been updated – updates twice a year - Neste
18,1,"Wed, 23 Sep 2020 07:00:00 GMT",How Google will help end deforestation in our supply chain - Unilever
19,0,"Tue, 19 May 2020 07:00:00 GMT",How to capture savings from the oil-price drop and bolster profits—quickly - McKinsey
20,1,"Tue, 18 Aug 2020 07:00:00 GMT",How we’re using technology to help end deforestation - Unilever
21,1,"Tue, 08 Dec 2020 08:00:00 GMT",RBN Cushing Crude Oil Playbook - RBN Energy
22,-1,"Thu, 28 May 2020 07:00:00 GMT",The impact of travel restrictions on oil and gas supply chains - Wood Mackenzie
23,0,"Wed, 18 Nov 2020 08:44:00 GMT",Promoting certified sustainable palm oil - WWF
24,1,"Wed, 16 Dec 2020 08:00:00 GMT",Energizing the oil and gas value chain with AI - IBM
25,0,"Mon, 31 Aug 2020 07:00:00 GMT",Commentary: What makes Alaska’s oil industry unique? - FreightWaves
26,1,"Wed, 11 Mar 2020 07:00:00 GMT",PepsiCo renews sustainable palm oil policy to close supplier loophole - Mongabay.com
27,1,"Fri, 21 Aug 2020 20:48:06 GMT",Planning and Supply Chain Optimization Beyond the Pandemic - Wipro
28,-1,"Thu, 26 Nov 2020 08:00:00 GMT",Trends in global dependency on the Indonesian palm oil and resultant environmental impacts - Nature.com
29,1,"Thu, 11 Jun 2020 07:00:00 GMT",| BloombergNEF - BloombergNEF
30,0,"Fri, 07 Feb 2020 08:00:00 GMT",Optimizing oil and gas with AI - IBM
31,1,"Fri, 01 May 2020 07:00:00 GMT","Industry responds to low oil prices, coronavirus pandemic - Offshore magazine"
32,1,"Sun, 17 May 2020 07:00:00 GMT",Top Oil and Gas Logistics Companies Worldwide - Energy Digital
33,0,"Mon, 21 Sep 2020 07:00:00 GMT",The future of liquefied natural gas: Opportunities for growth - McKinsey
34,-1,"Thu, 02 Apr 2020 07:00:00 GMT",IEA This Oil Shock Is The Worst In History - OilPrice.com
35,1,"Thu, 16 Jan 2020 08:00:00 GMT",How do the Snack Food Giants compare on Cutting Conflict Palm Oil? - Rainforest Action Network
36,0,"Sat, 01 Aug 2020 07:00:00 GMT",How government policies can make waste cooking oil-to-biodiesel supply chains more efficient and sustainable - ScienceDirect.com
37,-1,"Thu, 12 Nov 2020 08:00:00 GMT",Persistence of commodity shocks - World Bank
38,0,"Mon, 26 Oct 2020 07:00:00 GMT",Building resilience in petrochemicals - Deloitte
39,1,"Mon, 13 Apr 2020 07:00:00 GMT",The Supply Chain for Food Is Stressed (Published 2020) - The New York Times
40,0,"Thu, 30 Jan 2020 08:00:00 GMT",Essential tactics to foster innovation in oil and gas - IBM
41,1,"Wed, 24 Jun 2020 07:00:00 GMT","Neste, McDonald’s Netherlands and HAVI enter into circular economy collaboration in the Netherlands - Neste"
42,0,"Fri, 04 Sep 2020 07:00:00 GMT",Mondelēz International latest to enhance tracing of palm oil sourcing - Compliance Week
43,0,"Sun, 17 May 2020 07:00:00 GMT",Brunei Shell Petroleum: improving efficiency and performance - Supply Chain Digital
44,-1,"Fri, 29 May 2020 07:00:00 GMT","Amid volatile commodity prices, beware of cognitive bias - McKinsey"
45,-1,"Thu, 23 Apr 2020 07:00:00 GMT",Spearphishing potential to disrupt the oil and gas vertical - IndustrialCyber
46,-1,"Wed, 18 Nov 2020 08:00:00 GMT",The Next Big Disruption of the Supply Chain Network--Turkey and Greece Clash Over Oil and Gas in the Eastern Mediterranean - Supply and Demand Chain Executive
47,1,"Thu, 05 Mar 2020 08:00:00 GMT",How to build deforestation-free supply chains: lessons from Indonesia - World Economic Forum
48,0,"Sun, 02 Aug 2020 07:00:00 GMT","Modeling enables Thai refining, petrochemicals plant integration - Oil & Gas Journal"
49,1,"Tue, 03 Mar 2020 08:00:00 GMT",Tech Talk by Diego Cafaro - Wilton E. Scott Institute for Energy Innovation - Carnegie Mellon University
50,1,"Thu, 25 Jun 2020 07:00:00 GMT",AHEAD launches Brunei-Japan hydrogen supply chain for power generation in Tokyo Bay - S&P Global
51,1,"Thu, 19 Nov 2020 04:00:52 GMT",The Businesses Driving Deforestation - Rainforest Action Network
52,-1,"Mon, 27 Apr 2020 07:00:00 GMT","Pirates are expanding in West Africa, threatening offshore oil storage - CNBC"
53,-1,"Fri, 13 Nov 2020 08:00:00 GMT","Wholesale marijuana, hemp oil prices fall nationwide amid growing supply of raw material - Marijuana Business Daily"
