count,sentiment,date,title
1,0,"Tue, 25 Jun 2019 05:10:34 GMT","Our Palm Positive Plan - Mars, Incorporated"
2,1,"Wed, 20 Mar 2019 07:00:00 GMT",Defining the invisible supply chain - Atlantic Council
3,1,"Fri, 18 Jan 2019 08:00:00 GMT","Creative solutions to oil waste, sources for fuel of tomorrow - DLA"
4,1,"Wed, 10 Jul 2019 07:00:00 GMT",Regional Wood Fiber Costs vs. Oil Prices: Is there a Correlation? - ResourceWise
5,1,"Wed, 29 May 2019 07:00:00 GMT",J-WAFS announces seven new seed grants - MIT News
6,1,"Fri, 11 Oct 2019 07:00:00 GMT",Enabling Transformation in the Oil and Gas Supply Chain: Infiniti Releases Its Latest Guide for the C-Suite of Oil and Gas Companies - Business Wire
7,1,"Mon, 29 Apr 2019 07:00:00 GMT",Data scientists mapped supply chains of every U.S. city. What it says is bigger than just where your food comes from. - NAU News
8,1,"Tue, 25 Jun 2019 07:00:00 GMT",One Downstream - Deloitte
9,1,"Wed, 16 Jan 2019 08:00:00 GMT",The double-edged sword of palm oil - Stanford Doerr School of Sustainability
10,1,"Wed, 11 Dec 2019 08:00:00 GMT",The New Energy Era: The Lithium-Ion Supply Chain - Visual Capitalist
11,1,"Tue, 05 Mar 2019 08:00:00 GMT",Transfer pricing in the oil and gas sector - International Tax Review
12,-1,"Sat, 14 Sep 2019 07:00:00 GMT",Saudi Arabia oil output takes major hit after apparent drone attacks claimed by Yemen rebels - The Washington Post
13,-1,"Tue, 26 Feb 2019 08:00:00 GMT",Mexico is being held to ransom by oil thieves and systemic corruption - The Conversation Indonesia
14,1,"Tue, 03 Sep 2019 07:00:00 GMT",Discover a Career: Life as an Energy Trader - Society of Petroleum Engineers (SPE)
15,1,"Mon, 29 Jul 2019 07:00:00 GMT",Honduran palm oil sector commits to deforestation-free supply chain - FoodNavigator-Latam
16,0,"Wed, 20 Mar 2019 07:00:00 GMT",Clariant offers better product access for oil production customers through new supply base in Indonesia - Clariant
17,1,"Tue, 25 Jun 2019 07:00:00 GMT",How Digital Disruption Is Reshaping The Upstream Supply Chain - Wood Mackenzie
18,1,"Wed, 17 Jul 2019 07:00:00 GMT","Orangutan habitats being cleared in areas near palm oil mills, report finds - Mongabay.com"
19,-1,"Sat, 09 Feb 2019 08:00:00 GMT",(PDF) Supply Chain Disruption in Nigeria Oil and Gas Sector: Some Mitigation Strategies - ResearchGate
20,0,"Fri, 26 Apr 2019 07:00:00 GMT",P&G Partners to Improve Environmental Impact and Smallholder Livelihood in Palm Oil Supply Chain - Business Wire
21,1,"Wed, 13 Feb 2019 08:00:00 GMT",The economic contribution of the UK downstream oil sector - Oxford Economics
22,1,"Thu, 24 Oct 2019 07:00:00 GMT",Can China shift to sustainable palm oil? - China Dialogue Ocean.
23,1,"Tue, 18 Jun 2019 07:00:00 GMT",New tool helps monitor forest change within commodities supply chains - Mongabay.com
24,1,"Mon, 01 Jul 2019 07:00:00 GMT",Pipelines: A Mode Of Transportation That Gets No Respect - Forbes
25,1,"Wed, 10 Jul 2019 07:00:00 GMT",Can jurisdictional certification curb palm oil deforestation in Indonesia? (commentary) - Mongabay.com
26,0,"Thu, 30 May 2019 07:00:00 GMT",New SmarTech Analysis report on AM in the oil and gas industry finds $1B+ AM hardware opportunity - VoxelMatters
27,1,"Wed, 02 Oct 2019 07:00:00 GMT",Report links major brands to illegal oil palm plantation in orangutan haven - Mongabay.com
28,0,"Wed, 17 Apr 2019 07:00:00 GMT",Redeeming a bad reputation: ‘Sustainable palm oil is the best oil we have’ - FoodNavigator.com
29,1,"Wed, 04 Dec 2019 08:00:00 GMT",Catching fish to feed fish: Report details ‘unsustainable’ fishmeal and oil industry - Mongabay.com
30,0,"Fri, 28 Jun 2019 07:00:00 GMT",Higher Demand For Perforating Systems Strains Supply Chain - Hart Energy
31,1,"Tue, 09 Jul 2019 07:00:00 GMT",Nestle Tests Public Blockchains For Dairy Supply Chain - Forbes
32,0,"Fri, 18 Jan 2019 08:00:00 GMT",The Incredible Ways Shell Uses Artificial Intelligence To Help Transform The Oil And Gas Giant - Forbes
33,1,"Wed, 08 May 2019 07:00:00 GMT",How Vantage Drilling has transformed its supply chain into a mature function - Sustainability Magazine
34,0,"Mon, 04 Nov 2019 08:00:00 GMT",How Oil & Gas Companies Can Successfully Boost Cash Flow Management - American Express
35,1,"Tue, 30 Apr 2019 07:00:00 GMT",Nestlé verifies three-quarters of its supply chain as deforestation-free | 2019-04-30 | Candy Industry - Snack Food & Wholesale Bakery
36,-1,"Mon, 09 Dec 2019 08:00:00 GMT",PHOTOS: Desperate Orangutans Rescued as Snack Brands Remain Silent About Sourcing Conflict Palm Oil From Singkil-Bengkung rainforests - Rainforest Action Network
37,1,"Wed, 06 Nov 2019 08:00:00 GMT","Makers of Oreos, KitKats among brands linked to Indonesia forest fires - Mongabay.com"
38,1,"Thu, 09 May 2019 07:00:00 GMT","Equinor, Saudi Aramco invest in commodity blockchain startup Data Gumbo - Ledger Insights"
39,-1,"Tue, 03 Sep 2019 07:00:00 GMT",Greenpeace halts engagement with Wilmar-Unilever-Mondelez over continued failure to take necessary action to cut deforestation from their supply chains - greenpeace.org
40,1,"Thu, 20 Jun 2019 07:00:00 GMT",Oil and Gas Tech 2019 Conference and Exhibition | #OGT - Energy Industry Review
41,1,"Mon, 20 May 2019 07:00:00 GMT",15 Countries That Control the World’s Oil - 24/7 Wall St.
42,-1,"Mon, 29 Jul 2019 07:00:00 GMT",FPSO Boom to Challenge Supply Chain - Offshore Engineer
43,-1,"Wed, 22 May 2019 07:00:00 GMT",IndustriALL again demands Shell address violations in supply chain - IndustriALL Global Union
44,-1,"Mon, 01 Apr 2019 07:00:00 GMT",Opinion - Crewboats gain favour among oil majors - Riviera Maritime Media
45,-1,"Tue, 15 Oct 2019 07:00:00 GMT",U.S. oil and gas jobs fall as drilling declines: Kemp - Reuters
46,1,"Tue, 18 Jun 2019 07:00:00 GMT","Canola meal, oil and seed: a look at profitability across the supply chain - Farm Credit Canada"
47,1,"Tue, 07 May 2019 07:00:00 GMT",Scottish oil and gas sector remains competitive on the international stage - Scottish Enterprise
48,0,"Sat, 02 Nov 2019 07:00:00 GMT",Gulf Oil chose Mahindra Logistics to strengthen its supply chain - Mahindra
