count,sentiment,date,title
1,1,"Thu, 28 Jul 2016 07:00:00 GMT",Five strategies to transform the oil and gas supply chain - McKinsey
2,0,"Thu, 20 Oct 2016 07:00:00 GMT",Oil Innovations to Reduce Climate Impacts - Carnegie Endowment for International Peace
3,1,"Tue, 02 Feb 2016 08:00:00 GMT",Oil Prices And The Effect On Shipping Rates - Xeneta
4,-1,"Thu, 14 Jul 2016 07:00:00 GMT",Animated Video Highlights Labor Abuses in Palm Oil Supply Chain - TriplePundit
5,1,"Fri, 11 Mar 2016 08:00:00 GMT",Q&A: Can palm oil ever be sustainable? - World Economic Forum
6,0,"Wed, 26 Oct 2016 07:00:00 GMT",The next frontier for palm oil expansion: Latin America - Oxfam
7,-1,"Mon, 11 Apr 2016 07:00:00 GMT",Malaysian palm oil giant loses 7 more customers over RSPO suspension - Mongabay.com
8,1,"Wed, 30 Nov 2016 08:00:00 GMT","Amnesty International Slams Colgate, Nestlé and Unilever For Palm Oil Supply Chain Abuses - Forbes"
9,-1,"Thu, 17 Mar 2016 07:00:00 GMT",RAN Exposes PepsiCo’s Conflict Palm Oil Problem at ExpoWest - The Understory - Rainforest Action Network
10,1,"Fri, 24 Jun 2016 07:00:00 GMT",Energizing worldwide oil and gas deepwater developments - McKinsey
11,1,"Wed, 15 Jun 2016 07:00:00 GMT",Smart Tax: Pricing Oil for a Safe Climate - Carnegie Endowment for International Peace
12,1,"Wed, 30 Nov 2016 08:00:00 GMT",Amnesty links palm oil used in household goods to child labour in Indonesia - BBC.com
13,1,"Tue, 09 Feb 2016 08:00:00 GMT",Is this Malaysian palm oil firm still destroying forest in Borneo — and selling to Wilmar? - Mongabay.com
14,1,"Mon, 25 Apr 2016 07:00:00 GMT",BREAKING: Protesters Scale Iconic NYC Pepsi Sign to drop 100’ “Cut Conflict Palm Oil” Banner - Rainforest Action Network
15,-1,"Wed, 17 Aug 2016 07:00:00 GMT",The Six Political Events That Have “Distorted” the World of Oil - Carnegie Endowment for International Peace
16,1,"Thu, 25 Aug 2016 07:00:00 GMT",The next frontier for digital technologies in oil and gas - McKinsey
17,1,"Tue, 05 Apr 2016 07:00:00 GMT","Unilever, Kellogg, Mars drop palm oil giant IOI over RSPO suspension - Mongabay.com"
18,-1,"Fri, 16 Dec 2016 08:00:00 GMT",Companies are underestimating the risks of deforestation in their commodities supply chains - Mongabay.com
19,1,"Wed, 16 Nov 2016 08:00:00 GMT",Seven African countries pledge to protect their tropical forests from unsustainable oil palm development - Mongabay.com
20,1,"Thu, 23 Jun 2016 07:00:00 GMT","PepsiCo products in Indonesia tainted with worker abuses, report finds - Mongabay.com"
21,1,"Fri, 10 Jun 2016 07:00:00 GMT",Vulnerable and exploited: 7 things we learned about migrant labour in palm oil - The Guardian
22,1,"Wed, 12 Oct 2016 07:00:00 GMT",Airbus to marshal its satellites against deforestation - Mongabay.com
23,1,"Wed, 23 Mar 2016 07:00:00 GMT",WRAP report: UK plastic waste reaches 3.7M metric tons in 2014; oil prices not solely to blame - Waste Dive
24,-1,"Tue, 26 Jan 2016 08:00:00 GMT",Five growing risks that put pressure on energy companies - The Global Treasurer
25,1,"Mon, 26 Sep 2016 07:00:00 GMT",Saudi Aramco eyes $334bn investment by 2025 - Al Jazeera English
26,-1,"Fri, 04 Mar 2016 08:00:00 GMT",Leading brands unsure if palm oil in products comes from rainforest land - The Guardian
27,1,"Wed, 25 May 2016 07:00:00 GMT",doTERRA Reinvents Supply Chain For Impact On Poverty - Forbes
28,-1,"Fri, 02 Dec 2016 08:00:00 GMT",Amnesty International finds human rights abuses in Wilmar supply chain - Eco-Business
29,1,"Fri, 11 Mar 2016 08:00:00 GMT",GreenPalm palm oil goes greener – or does it? - FoodNavigator.com
30,0,"Tue, 27 Sep 2016 07:00:00 GMT",North Sea oil and gas industry needs 'urgent' investment - Sky News
31,-1,"Wed, 30 Nov 2016 08:00:00 GMT","A Supplier to Nestle, Kellogg, and P&G Is Being Accused of Child Labor - Fortune"
32,1,"Thu, 11 Aug 2016 07:00:00 GMT",OGA seeking to reverse slide in UK offshore exploratory drilling - Offshore magazine
33,1,"Sun, 17 Jan 2016 08:00:00 GMT",Oman Energy Profile: Largest Non-OPEC Oil And Natural Gas Producer In Middle East – Analysis - Eurasia Review
34,-1,"Wed, 09 Mar 2016 08:00:00 GMT",75-year-old Pipeline Between Montreal And Maine Shuts Down - Canadian Manufacturing
35,1,"Wed, 30 Nov 2016 08:00:00 GMT",Wilmar palm oil produced using child labour in dangerous conditions: Amnesty International - FoodNavigator.com
36,1,"Mon, 21 Mar 2016 07:00:00 GMT","New UK oil and gas directory launched in Busan, South Korea - GOV.UK"
37,1,"Wed, 03 Aug 2016 07:00:00 GMT",Enbridge To Spend US$1.5B For Minority Stake In Bakken Pipeline System - Canadian Manufacturing
38,1,"Wed, 30 Nov 2016 08:00:00 GMT",Palm Oil: Global brands profiting from child and forced labour - Amnesty International
39,-1,"Thu, 03 Mar 2016 08:00:00 GMT","Colgate-Palmolive, Johnson&Johnson, and PepsiCo fail to keep palm oil promises - Sydney Morning Herald"
40,1,"Thu, 29 Sep 2016 07:00:00 GMT",Downstream Logistics: Making the link - Oil and Gas Middle East
41,1,"Fri, 26 Aug 2016 07:00:00 GMT",Zuva Petroleum : Energy Every Day - Africa Outlook Magazine
42,1,"Mon, 18 Apr 2016 07:00:00 GMT",MBA in Oil and Gas Management: Prospects & Career Options - Jagran Josh
43,1,"Wed, 30 Nov 2016 08:00:00 GMT","The Word's Biggest MNCs Are Using Child Labour In Indonesia, According To An Amnesty Report - Indiatimes.com"
