count,sentiment,date,title
1,1,"Wed, 16 Aug 2023 07:00:00 GMT",Oil prices and outlook - EIA
2,1,"Mon, 14 Aug 2023 07:00:00 GMT",How increasing US oil and gas production affects gas prices - Chevron
3,1,"Wed, 09 Aug 2023 07:00:00 GMT",How Oil Prices Distort Our View of Inflation - UCLA
4,1,"Mon, 06 Mar 2023 08:00:00 GMT",How oil and gas companies can secure supply-chain resilience - McKinsey
5,1,"Wed, 14 Jun 2023 07:00:00 GMT",Oil and gas must prioritize supply chain excellence - EY
6,-1,"Mon, 10 Jul 2023 07:00:00 GMT",Oil prices are down because U.S. oil production is up - Marketplace
7,-1,"Tue, 19 Dec 2023 08:00:00 GMT",Fears of higher oil prices after Red Sea attacks - BBC.com
8,1,"Tue, 14 Nov 2023 08:00:00 GMT",Forbidden Russian oil flows into Pentagon supply chain - The Washington Post
9,1,"Fri, 25 Aug 2023 07:00:00 GMT",Six New BRICS: Implications for Energy Trade - Center for Strategic & International Studies
10,-1,"Wed, 11 Oct 2023 07:00:00 GMT","Rising oil prices, surging inflation: The Arab embargo 50 years ago weaponized oil to inflict economic trauma - The Conversation"
11,1,"Wed, 06 Sep 2023 07:00:00 GMT",Securing Taiwan’s Black Gold: A Crude Analysis - Global Taiwan Institute
12,-1,"Thu, 30 Nov 2023 08:00:00 GMT",OPEC+ oil producers struggle to agree on cuts to production even as prices fall - PBS NewsHour
13,0,"Mon, 18 Dec 2023 08:00:00 GMT",Oil and gas prices surge as BP stops Red Sea shipments following Houthi attacks - CNN
14,-1,"Mon, 25 Sep 2023 07:00:00 GMT",Carbon intensity of global crude oil trading and market policy implications - Nature.com
15,-1,"Tue, 10 Oct 2023 07:00:00 GMT",How Extreme Weather Disrupts U.S. Oil And Gas Sector - Forbes
16,1,"Mon, 02 Oct 2023 07:00:00 GMT",How Can African Countries Participate in U.S. Clean Energy Supply Chains? - Carnegie Endowment for International Peace
17,1,"Mon, 20 Nov 2023 08:00:00 GMT",The Importance of U.S. Refining Capacity - America First Policy Institute
18,1,"Tue, 05 Dec 2023 08:00:00 GMT",Why lithium is not oil: A critical minerals perspective - World Economic Forum
19,1,"Mon, 27 Feb 2023 08:00:00 GMT",How oil and gas companies can be successful in renewable power - McKinsey
20,0,"Fri, 28 Apr 2023 07:00:00 GMT","Crude oil prices are down, but oil companies’ profits are doing just fine - Marketplace"
21,-1,"Tue, 24 Jan 2023 08:00:00 GMT",The Single Oil Spill that Can Disrupt the Global Energy Supply - USC Viterbi School of Engineering
22,-1,"Thu, 16 Feb 2023 08:00:00 GMT",Burden of the global energy price crisis on households - Nature.com
23,1,"Tue, 11 Apr 2023 07:00:00 GMT",Sticker Shock at the Grocery Store? Inflation Wasn’t the Only Reason Food Prices Increased | U.S. GAO - Government Accountability Office
24,1,"Wed, 29 Mar 2023 07:00:00 GMT",The effect of the global supply chain and oil prices on the inflation rates in advanced economies and emerging markets - Wiley Online Library
25,1,"Mon, 09 Oct 2023 07:00:00 GMT",Kazakhstan’s Oil Supply Reshaping: Is There a Viable Alternative to the CPC Pipeline? - S&P Global
26,1,"Fri, 09 Jun 2023 07:00:00 GMT",America is going through an oil boom — and this time it's different - NPR
27,-1,"Fri, 07 Jul 2023 07:00:00 GMT",Does Taiwan’s massive reliance on energy imports put its security at risk? - Atlantic Council
28,1,"Wed, 10 May 2023 15:56:56 GMT",ec 202308 impacts supply chain disruptions on inflation - Federal Reserve Bank of Cleveland
29,1,"Tue, 18 Jul 2023 07:00:00 GMT",Food Scraps to Fuel: EPA-Funded Technology Successfully Traces Renewable Fuel Supply Chain in New York City - U.S. EPA.gov
30,1,"Thu, 27 Jul 2023 07:00:00 GMT",Used cooking oil: Supply and traceability - Fastmarkets news
31,1,"Thu, 13 Jul 2023 07:00:00 GMT",Reality Check: Natural Gas’s True Climate Risk - Rocky Mountain Institute
